2023-01-24 11:40:04,610 [Worker-23] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' C:\Users\welcome\OneDrive\Documents\JESE8\servlet_demo\pom.xml
2023-01-24 11:40:09,287 [Worker-23] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: org.jsp:servlet_demo:0.0.1-SNAPSHOT @ C:\Users\welcome\OneDrive\Documents\JESE8\servlet_demo\pom.xml.
2023-01-24 11:40:14,768 [Worker-23] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /servlet_demo/src/main/java
2023-01-24 11:40:14,769 [Worker-23] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /servlet_demo/src/main/resources
2023-01-24 11:40:14,770 [Worker-23] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /servlet_demo/src/test/java
2023-01-24 11:40:19,826 [Worker-23] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 15 sec
2023-01-24 11:40:20,545 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-01-24 11:40:20,552 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-01-24 11:40:20,555 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-01-24 11:40:20,556 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\welcome\OneDrive\Documents\JESE8\servlet_demo\src\test\resources
2023-01-24 11:40:28,768 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-01-24 11:40:28,771 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-01-24 11:40:28,773 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-01-24 11:40:28,775 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\welcome\OneDrive\Documents\JESE8\servlet_demo\src\test\resources
2023-01-24 11:42:27,986 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-01-24 11:42:27,987 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
